Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NOK,NOK,NOK,NOK,NOK,,,
2021-01-04,2021,1,4,Monday,01,2021-01,3.58,3.58,3.46,3.49,30281400,0.0,3.49,3.49
2021-01-05,2021,1,5,Tuesday,01,2021-01,3.58,3.65,3.55,3.63,38446200,0.03856033466054454,3.56,3.56
2021-01-06,2021,1,6,Wednesday,01,2021-01,3.6,3.67,3.6,3.63,37467400,0.0,3.5833333333333335,3.5833333333333335
2021-01-07,2021,1,7,Thursday,01,2021-01,3.6,3.62,3.57,3.58,25318000,-0.012376235834958171,3.5825,3.5825
2021-01-08,2021,1,8,Friday,01,2021-01,3.54,3.56,3.5,3.53,23978700,-0.01503764500120608,3.572,3.572
2021-01-11,2021,1,11,Monday,02,2021-02,3.45,3.54,3.44,3.48,37045200,-0.015267093084855632,3.5566666666666666,3.5566666666666666
2021-01-12,2021,1,12,Tuesday,02,2021-02,3.54,3.61,3.53,3.6,26065000,0.0361757178603046,3.562857142857143,3.562857142857143
2021-01-13,2021,1,13,Wednesday,02,2021-02,3.51,3.58,3.51,3.58,33763400,-0.007481321847354172,3.565,3.565
2021-01-14,2021,1,14,Thursday,02,2021-02,3.7,3.82,3.66,3.67,93198600,0.027638239881881743,3.576666666666666,3.576666666666666
2021-01-15,2021,1,15,Friday,02,2021-02,3.67,3.72,3.63,3.66,36639300,-0.0024450391831205565,3.585,3.585
2021-01-19,2021,1,19,Tuesday,03,2021-03,3.66,3.76,3.62,3.71,40539400,0.012254965101238025,3.5963636363636367,3.5963636363636367
2021-01-20,2021,1,20,Wednesday,03,2021-03,3.73,3.8,3.73,3.77,43924100,0.01694918739862805,3.6108333333333333,3.6108333333333333
2021-01-21,2021,1,21,Thursday,03,2021-03,3.75,3.8,3.74,3.79,22026300,0.004761625499683841,3.6246153846153844,3.6246153846153844
2021-01-22,2021,1,22,Friday,03,2021-03,3.76,3.79,3.72,3.77,29126700,-0.004739059871355811,3.6350000000000002,3.6350000000000002
2021-01-25,2021,1,25,Monday,04,2021-04,4.08,4.42,4.07,4.36,296379300,0.15476154966554612,3.697142857142857,3.683333333333333
2021-01-26,2021,1,26,Tuesday,04,2021-04,4.56,4.73,4.14,4.25,379387300,-0.024742028602268817,3.7414285714285715,3.71875
2021-01-27,2021,1,27,Wednesday,04,2021-04,4.48,8.79,4.37,5.88,1123003300,0.3847781412846505,3.902142857142857,3.8458823529411763
2021-01-28,2021,1,28,Thursday,04,2021-04,4.65,4.97,4.12,4.21,675220900,-0.2839694985614265,3.9471428571428575,3.8661111111111115
2021-01-29,2021,1,29,Friday,04,2021-04,4.61,4.69,4.07,4.1,362323300,-0.027718622747910038,3.9878571428571425,3.878421052631579
2021-02-01,2021,2,1,Monday,05,2021-05,4.46,4.48,4.19,4.39,194969200,0.07236814151050464,4.0528571428571425,3.904
2021-02-02,2021,2,2,Tuesday,05,2021-05,4.26,4.28,3.95,4.07,165679700,-0.07361924829268451,4.086428571428572,3.911904761904762
2021-02-03,2021,2,3,Wednesday,05,2021-05,4.16,4.28,4.06,4.22,95964300,0.03752738273439937,4.132142857142857,3.9259090909090912
2021-02-04,2021,2,4,Thursday,05,2021-05,4.03,4.1,3.86,3.93,151036400,-0.07021289356067395,4.150714285714286,3.926086956521739
2021-02-05,2021,2,5,Friday,05,2021-05,3.89,3.89,3.77,3.79,107577200,-0.03432494362567606,4.159999999999999,3.9204166666666667
2021-02-08,2021,2,8,Monday,06,2021-06,3.84,3.91,3.78,3.83,79270400,0.009478937385891673,4.168571428571428,3.9168000000000003
2021-02-09,2021,2,9,Tuesday,06,2021-06,3.83,3.84,3.75,3.76,83593900,-0.016432020680290038,4.167857142857143,3.9107692307692306
2021-02-10,2021,2,10,Wednesday,06,2021-06,3.78,3.79,3.68,3.75,79240200,-0.004773307032096774,4.165,3.9048148148148147
2021-02-11,2021,2,11,Thursday,06,2021-06,3.74,3.75,3.66,3.68,63166100,-0.01678660722372649,4.158571428571428,3.896785714285714
2021-02-12,2021,2,12,Friday,06,2021-06,3.69,3.79,3.66,3.75,50557400,0.017073208468333156,4.115,3.8917241379310346
